Date,Price,Open,High,Low,Volume,Change %
7/6/2022,"92,000","92,000","92,000","92,000",2.00K,0.00%
7/5/2022,"92,000","93,000","93,000","90,000",0.80K,-1.08%
7/4/2022,"93,000","93,500","93,500","93,000",0.20K,3.33%
6/28/2022,"90,000","90,000","90,000","90,000",0.10K,0.00%
6/27/2022,"90,000","90,000","90,000","90,000",1.00K,-3.74%
6/24/2022,"93,500","93,500","93,500","93,500",0.10K,2.75%
6/22/2022,"91,000","90,000","91,000","90,000",0.40K,0.55%
6/21/2022,"90,500","90,500","90,500","90,500",1.00K,0.00%
6/17/2022,"90,500","90,500","90,500","90,500",0.30K,-1.09%
6/16/2022,"91,500","90,500","91,700","90,500",3.50K,-2.14%
6/15/2022,"93,500","93,500","93,500","93,500",0.40K,0.65%
6/14/2022,"92,900","92,900","92,900","92,900",0.10K,3.22%
6/13/2022,"90,000","91,000","91,000","90,000",12.10K,-5.36%
6/9/2022,"95,100","94,000","96,100","94,000",1.29K,-8.03%
6/7/2022,"103,400","103,400","103,400","103,400",0.10K,10.00%
6/3/2022,"94,000","94,000","94,000","94,000",14.80K,0.00%
6/2/2022,"94,000","92,600","94,000","92,600",7.20K,0.00%
6/1/2022,"94,000","93,900","94,000","93,900",4.00K,0.00%
5/30/2022,"94,000","94,000","94,000","94,000",0.10K,-2.59%
5/26/2022,"96,500","91,000","96,500","91,000",0.20K,-0.52%
5/25/2022,"97,000","97,000","97,000","97,000",2.80K,1.04%
5/24/2022,"96,000","96,000","96,000","96,000",0.20K,5.96%
5/23/2022,"90,600","90,700","90,700","90,600",1.80K,-5.63%
5/20/2022,"96,000","96,400","96,400","92,900",19.90K,3.78%
5/18/2022,"92,500","90,000","92,500","90,000",8.10K,-4.54%
5/17/2022,"96,900","97,000","97,000","96,900",0.20K,7.67%
5/16/2022,"90,000","91,000","91,000","90,000",0.60K,-1.10%
5/13/2022,"91,000","93,100","93,200","90,000",19.40K,-2.36%
5/12/2022,"93,200","93,100","93,300","93,100",2.90K,0.11%
5/11/2022,"93,100","93,100","93,100","93,100",0.40K,0.00%
5/10/2022,"93,100","90,000","93,100","90,000",0.20K,3.44%
5/9/2022,"90,000","109,700","109,700","90,000",2.50K,-9.82%
5/5/2022,"99,800","95,000","99,800","93,500",0.50K,3.74%
5/4/2022,"96,200","100,000","100,000","96,200",1.60K,-3.80%
4/29/2022,"100,000","100,000","100,000","100,000",0.30K,0.00%
4/27/2022,"100,000","98,700","100,000","98,500",1.50K,1.42%
4/26/2022,"98,600","90,000","98,600","90,000",1.20K,2.71%
