Date,Price,Open,High,Low,Volume,Change %
25/11/2019,"17,015.60","17,179.20","17,277.40","16,852.00",30.55K,-0.95%
22/11/2019,"17,179.20","17,015.60","17,441.00","16,852.00",43.96K,0.96%
21/11/2019,"17,015.60","17,179.20","17,604.60","16,622.90",13.59K,0.19%
20/11/2019,"16,982.90","16,688.40","17,015.60","16,361.20",109.26K,0.97%
19/11/2019,"16,819.30","16,524.80","16,819.30","16,361.20",107.24K,0.78%
18/11/2019,"16,688.40","16,982.90","17,997.30","16,688.40",62.16K,0.79%
15/11/2019,"16,557.50","16,852.00","16,917.40","16,557.50",58.83K,-2.88%
14/11/2019,"17,048.30","16,753.80","17,113.80","16,721.10",43.58K,-1.51%
13/11/2019,"17,310.10","17,506.40","17,506.40","17,015.60",106.08K,-2.04%
12/11/2019,"17,670.10","17,539.20","17,964.60","17,539.20",182.08K,-0.73%
11/11/2019,"17,800.90","18,259.10","18,259.10","17,539.20",54.43K,-2.16%
8/11/2019,"18,193.60","18,030.00","18,651.70","17,506.40",148.48K,0.91%
7/11/2019,"18,030.00","19,011.70","19,208.00","17,997.30",79.44K,-5.16%
6/11/2019,"19,011.70","18,979.00","19,797.00","18,488.10",56.42K,0.17%
5/11/2019,"18,979.00","18,880.80","19,927.90","17,997.30",191.38K,0.52%
4/11/2019,"18,880.80","17,670.10","18,880.80","17,506.40",168.67K,8.46%
1/11/2019,"17,408.30","16,230.30","17,670.10","16,230.30",190.32K,6.19%
31/10/2019,"16,393.90","16,001.20","16,393.90","15,935.80",125.13K,3.30%
30/10/2019,"15,870.30","15,772.20","16,197.60","15,739.40",75.99K,0.62%
29/10/2019,"15,772.20","15,706.70","16,099.40","15,608.60",88.40K,0.42%
28/10/2019,"15,706.70","15,706.70","16,099.40","15,706.70",60.69K,-1.84%
25/10/2019,"16,001.20","16,033.90","16,230.30","15,706.70",25.37K,0.20%
24/10/2019,"15,968.50","16,263.00","16,263.00","15,706.70",47.01K,-1.01%
23/10/2019,"16,132.10","15,772.20","16,361.20","15,772.20",80.08K,1.44%
22/10/2019,"15,903.10","15,314.10","16,361.20","15,314.10",106.69K,2.75%
