"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2021","110,000","108,400","110,900","108,400","2.63K","1.38%"
"02/24/2021","108,500","108,000","108,500","108,000","1.66K","-1.09%"
"02/23/2021","109,700","106,000","109,700","106,000","2.70K","4.48%"
"02/22/2021","105,000","105,000","108,000","105,000","1.24K","0.96%"
"02/19/2021","104,000","101,900","104,000","101,900","1.51K","3.07%"
"02/18/2021","100,900","99,500","101,000","99,500","4.04K","1.31%"
"02/17/2021","99,600","96,200","99,600","96,200","1.36K","0.00%"
"02/09/2021","99,600","99,100","100,000","99,100","0.31K","-0.40%"
"02/08/2021","100,000","98,900","100,000","98,900","2.11K","1.01%"
"02/05/2021","99,000","94,500","99,000","94,500","0.40K","4.87%"
"02/04/2021","94,400","94,400","94,400","94,400","0.10K","-4.74%"
"02/03/2021","99,100","98,700","99,100","98,700","0.60K","0.10%"
"02/02/2021","99,000","100,000","100,000","99,000","1.18K","0.00%"
"02/01/2021","99,000","99,000","102,000","99,000","1.50K","0.10%"
"01/29/2021","98,900","98,900","98,900","98,900","0.13K","5.21%"
"01/28/2021","94,000","90,000","94,000","89,100","3.81K","-4.95%"
"01/27/2021","98,900","101,000","101,000","98,900","0.30K","-5.81%"
"01/26/2021","105,000","104,000","107,900","104,000","1.22K","1.94%"
"01/25/2021","103,000","98,000","107,800","98,000","2.25K","5.10%"
"01/22/2021","98,000","98,000","98,000","98,000","2.03K","5.38%"
"01/21/2021","93,000","89,500","93,000","89,500","1.94K","0.65%"
"01/20/2021","92,400","90,000","92,400","90,000","3.60K","2.67%"
"01/19/2021","90,000","89,200","90,000","88,300","18.81K","1.01%"
"01/18/2021","89,100","88,100","89,100","88,100","5.89K","0.11%"
"01/15/2021","89,000","88,000","89,000","88,000","20.00K","5.95%"
"01/14/2021","84,000","88,000","88,000","84,000","12.84K","-4.55%"
"01/13/2021","88,000","88,500","88,500","88,000","4.70K","-0.56%"
"01/12/2021","88,500","88,500","88,500","88,500","2.80K","0.00%"
"01/11/2021","88,500","88,000","88,500","88,000","0.30K","-1.67%"
"01/08/2021","90,000","86,500","90,000","86,000","8.40K","2.86%"
"01/07/2021","87,500","87,500","87,500","87,000","1.00K","0.57%"
"01/06/2021","87,000","78,300","87,000","78,300","0.91K","0.00%"
"01/05/2021","87,000","87,000","87,000","87,000","0.33K","0.23%"
"01/04/2021","86,800","86,800","87,000","86,800","1.43K","0.00%"
"12/31/2020","86,800","78,200","86,800","78,200","0.79K","0.00%"
"12/30/2020","86,800","85,500","86,900","85,500","10.79K","3.09%"
"12/29/2020","84,200","84,200","84,200","84,200","0.12K","0.00%"
"12/28/2020","84,200","77,400","84,200","77,400","0.54K","-2.09%"
"12/24/2020","86,000","85,000","86,000","85,000","6.10K","3.61%"
"12/23/2020","83,000","83,000","83,000","83,000","0.15K","1.22%"
"12/22/2020","82,000","82,000","82,000","82,000","0.10K","-4.65%"
"12/21/2020","86,000","86,000","86,000","86,000","0.11K","1.18%"
"12/17/2020","85,000","85,000","85,000","85,000","0.20K","0.00%"
"12/16/2020","85,000","85,100","85,300","85,000","1.35K","-1.16%"
"12/15/2020","86,000","84,600","86,000","84,600","3.70K","1.78%"
"12/14/2020","84,500","83,200","84,500","83,200","2.80K","1.81%"
"12/11/2020","83,000","82,500","83,000","82,500","1.26K","0.12%"
"12/10/2020","82,900","82,900","82,900","82,900","0.10K","0.48%"
"12/09/2020","82,500","82,900","82,900","82,000","5.40K","0.61%"
"12/08/2020","82,000","82,900","82,900","82,000","2.21K","0.00%"
"12/07/2020","82,000","81,800","82,000","81,600","2.30K","0.49%"
"12/04/2020","81,600","82,000","82,000","81,500","2.60K","0.12%"
"12/03/2020","81,500","81,500","81,500","81,500","0.10K","0.00%"
"12/02/2020","81,500","81,500","81,500","81,500","0.11K","-1.81%"
"11/30/2020","83,000","83,000","83,000","83,000","2.00K","0.00%"
"11/27/2020","83,000","83,000","83,000","83,000","3.70K","1.10%"
"11/26/2020","82,100","82,000","83,000","82,000","9.35K","0.12%"
"11/25/2020","82,000","82,000","82,000","82,000","1.60K","0.00%"
"11/24/2020","82,000","82,000","82,000","82,000","1.12K","0.00%"
"11/23/2020","82,000","80,000","82,000","80,000","1.41K","3.67%"
"11/19/2020","79,100","79,100","79,100","79,100","0.13K","-5.72%"
"11/16/2020","83,900","83,900","83,900","83,900","0.21K","-0.12%"
"11/13/2020","84,000","85,000","86,000","84,000","1.70K","-1.18%"
"11/12/2020","85,000","84,000","85,000","84,000","14.14K","1.19%"
"11/11/2020","84,000","76,100","84,000","76,100","7.30K","1.20%"
"11/10/2020","83,000","80,000","83,000","80,000","0.40K","5.06%"
"11/09/2020","79,000","79,000","79,000","79,000","0.54K","2.60%"
"11/06/2020","77,000","82,000","82,000","77,000","1.70K","-6.10%"
"11/05/2020","82,000","82,100","82,100","82,000","2.10K","-0.12%"
"11/04/2020","82,100","83,500","83,500","82,100","0.40K","-1.08%"
"11/03/2020","83,000","83,000","83,000","83,000","2.30K","0.97%"
"11/02/2020","82,200","82,000","82,500","82,000","0.40K","0.24%"
"10/30/2020","82,000","79,900","83,000","79,900","7.40K","1.23%"
"10/29/2020","81,000","81,000","81,000","81,000","0.50K","-0.61%"
"10/28/2020","81,500","81,600","81,600","81,500","5.30K","0.00%"
"10/27/2020","81,500","75,100","81,500","75,100","0.40K","-0.61%"
"10/26/2020","82,000","82,500","83,000","82,000","2.35K","0.61%"
"10/23/2020","81,500","82,500","82,500","81,500","2.10K","0.00%"
"10/22/2020","81,500","81,500","81,500","81,500","5.00K","5.71%"
"10/21/2020","77,100","81,000","81,000","77,000","8.15K","-4.81%"
"10/20/2020","81,000","82,400","82,500","81,000","14.40K","-1.70%"
"10/19/2020","82,400","77,500","82,600","77,500","7.40K","-0.24%"
"10/16/2020","82,600","82,600","82,600","82,600","0.10K","4.56%"
"10/15/2020","79,000","71,100","79,000","71,100","0.60K","0.00%"
"10/14/2020","79,000","79,000","79,000","79,000","1.20K","-1.25%"
"10/13/2020","80,000","81,000","81,000","79,000","0.75K","3.76%"
"10/12/2020","77,100","74,700","77,100","74,700","0.20K","-7.11%"
"10/09/2020","83,000","73,100","83,900","73,100","0.30K","6.41%"
"10/07/2020","78,000","75,400","78,000","75,400","0.20K","-6.81%"
"10/06/2020","83,700","83,000","83,700","83,000","13.20K","0.84%"
"10/05/2020","83,000","83,100","83,200","83,000","2.85K","0.00%"
"10/02/2020","83,000","78,500","83,000","78,500","12.26K","6.41%"
"10/01/2020","78,000","77,000","78,400","77,000","4.15K","1.56%"
"09/30/2020","76,800","76,800","76,800","76,800","2.21K","-1.79%"
"09/29/2020","78,200","76,000","78,200","76,000","6.00K","2.89%"
"09/28/2020","76,000","75,300","76,000","75,200","8.70K","1.06%"
"09/25/2020","75,200","76,000","76,000","75,200","3.14K","0.27%"
"09/24/2020","75,000","75,000","75,500","75,000","12.50K","0.00%"
"09/23/2020","75,000","76,000","76,000","75,000","0.50K","0.00%"
"09/22/2020","75,000","74,900","75,000","74,900","3.90K","0.13%"
"09/21/2020","74,900","74,900","75,000","74,900","1.41K","-0.13%"
"09/18/2020","75,000","74,900","75,000","74,900","0.50K","0.13%"
"09/17/2020","74,900","73,500","74,900","73,500","8.00K","1.90%"
"09/15/2020","73,500","74,000","74,000","73,200","2.59K","0.41%"
"09/11/2020","73,200","73,200","73,200","73,200","0.10K","0.14%"
"09/10/2020","73,100","73,100","73,100","73,100","11.61K","0.00%"
"09/09/2020","73,100","73,100","73,100","73,100","0.22K","0.00%"
"09/08/2020","73,100","73,100","73,100","73,100","0.10K","-2.53%"
"09/07/2020","75,000","75,000","75,000","75,000","0.40K","0.00%"
"09/04/2020","75,000","74,500","75,000","74,000","6.15K","1.35%"
"09/03/2020","74,000","74,000","74,500","74,000","4.05K","0.00%"
"09/01/2020","74,000","74,000","74,000","74,000","3.18K","0.68%"
"08/31/2020","73,500","72,700","73,500","72,700","3.45K","0.14%"
"08/28/2020","73,400","73,000","73,400","73,000","3.50K","0.55%"
"08/27/2020","73,000","72,000","73,000","71,500","2.33K","1.39%"
"08/25/2020","72,000","73,000","73,000","71,000","1.33K","-0.69%"
"08/24/2020","72,500","71,900","72,500","71,900","3.75K","1.40%"
"08/21/2020","71,500","70,500","71,500","70,500","0.55K","0.00%"
"08/19/2020","71,500","71,500","71,500","71,500","0.42K","0.00%"
"08/18/2020","71,500","71,000","72,000","71,000","1.10K","0.56%"
"08/17/2020","71,100","71,000","71,100","71,000","0.63K","0.14%"
"08/14/2020","71,000","71,000","72,500","71,000","2.39K","1.43%"
"08/12/2020","70,000","71,000","71,000","70,000","0.20K","0.14%"
"08/11/2020","69,900","69,100","70,000","69,100","0.73K","-2.78%"
"08/10/2020","71,900","72,700","72,700","71,900","0.20K","-1.10%"
"08/06/2020","72,700","71,500","72,900","71,500","2.08K","1.68%"
"08/05/2020","71,500","70,100","71,500","70,100","5.20K","2.14%"
"08/04/2020","70,000","69,500","70,000","69,500","1.31K","1.30%"
"07/31/2020","69,100","69,200","69,200","69,100","4.40K","0.00%"
"07/30/2020","69,100","68,000","69,100","68,000","1.14K","-1.99%"
"07/29/2020","70,500","67,500","70,500","67,500","0.24K","4.44%"
"07/28/2020","67,500","68,000","68,000","67,500","0.24K","0.75%"
"07/27/2020","67,000","69,900","70,000","66,000","4.80K","-4.29%"
"07/24/2020","70,000","70,000","70,000","68,000","2.33K","0.00%"
"07/23/2020","70,000","70,000","70,000","70,000","0.50K","0.00%"
"07/22/2020","70,000","68,000","70,000","65,000","3.05K","-0.71%"
"07/21/2020","70,500","70,500","70,500","70,500","1.50K","0.71%"
"07/20/2020","70,000","70,000","70,500","70,000","10.14K","0.00%"
"07/17/2020","70,000","70,900","70,900","70,000","2.76K","0.00%"
"07/15/2020","70,000","70,000","70,000","70,000","0.20K","-1.41%"
