"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2023","13,535.7","13,571.4","13,571.4","13,392.9","9.80K","1.88%"
"01/16/2023","13,285.7","13,642.9","13,642.9","13,285.7","3.08K","-1.33%"
"01/13/2023","13,464.3","13,357.1","13,500.0","13,250.0","11.48K","1.89%"
"01/12/2023","13,214.3","13,714.3","13,714.3","13,214.3","11.20K","-0.80%"
"01/11/2023","13,321.4","13,392.9","13,571.4","13,321.4","4.21K","-1.84%"
"01/10/2023","13,571.4","13,714.3","13,714.3","13,357.1","0.84K","0.00%"
"01/09/2023","13,571.4","13,785.7","13,785.7","13,321.4","3.92K","0.53%"
"01/06/2023","13,500.0","13,785.7","13,785.7","13,285.7","20.22K","0.00%"
"01/05/2023","13,500.0","13,571.4","13,750.0","13,321.4","5.32K","-0.53%"
"01/04/2023","13,571.4","13,857.1","13,857.1","13,392.9","15.71K","-0.78%"
"01/03/2023","13,678.6","13,750.0","13,750.0","13,678.6","2.52K","-1.54%"
"12/30/2022","13,892.9","13,821.4","13,892.9","13,428.6","9.80K","0.78%"
"12/29/2022","13,785.7","13,785.7","13,785.7","13,785.7","0.28K","0.52%"
"12/28/2022","13,714.3","13,892.9","13,892.9","13,571.4","9.52K","0.26%"
"12/27/2022","13,678.6","13,928.6","13,928.6","13,428.6","3.08K","1.32%"
"12/26/2022","13,500.0","13,678.6","13,821.4","13,500.0","1.41K","-1.31%"
"12/23/2022","13,678.6","13,714.3","13,714.3","13,392.9","7.02K","-0.52%"
"12/22/2022","13,750.0","13,821.4","13,821.4","13,714.3","6.44K","0.26%"
"12/21/2022","13,714.3","14,285.7","14,285.7","13,428.6","22.96K","0.00%"
"12/20/2022","13,714.3","13,750.0","13,750.0","13,500.0","1.12K","2.13%"
"12/19/2022","13,428.6","13,892.9","13,892.9","13,428.6","6.44K","-2.34%"
"12/16/2022","13,750.0","13,821.4","13,857.1","13,571.4","172.20K","-0.26%"
"12/15/2022","13,785.7","13,607.1","13,928.6","13,571.4","15.12K","-1.03%"
"12/14/2022","13,928.6","13,928.6","13,928.6","13,928.6","1.52K","0.00%"
"12/13/2022","13,928.6","14,285.7","14,285.7","13,464.3","12.90K","0.00%"
"12/12/2022","13,928.6","13,892.9","13,928.6","13,785.7","11.20K","0.78%"
"12/09/2022","13,821.4","13,928.6","13,928.6","13,500.0","69.72K","1.31%"
"12/08/2022","13,642.9","13,607.1","13,642.9","13,535.7","7.28K","-1.80%"
"12/07/2022","13,892.9","14,071.4","14,071.4","13,571.4","33.54K","2.37%"
"12/06/2022","13,571.4","13,928.6","13,928.6","13,500.0","10.14K","-1.30%"
"12/05/2022","13,750.0","14,000.0","14,000.0","13,571.4","25.70K","-2.28%"
"12/02/2022","14,071.4","14,285.7","14,285.7","13,464.3","20.16K","0.00%"
"12/01/2022","14,071.4","14,285.7","14,285.7","13,392.9","35.28K","0.25%"
"11/30/2022","14,035.7","13,678.6","14,107.1","13,392.9","19.49K","0.51%"
"11/29/2022","13,964.3","13,928.6","14,107.1","13,607.1","13.79K","-1.01%"
"11/28/2022","14,107.1","14,071.4","14,178.6","14,071.4","17.75K","0.00%"
"11/25/2022","14,107.1","13,607.1","14,107.1","13,571.4","38.33K","2.07%"
"11/24/2022","13,821.4","13,785.7","13,821.4","13,571.4","21.28K","0.00%"
"11/23/2022","13,821.4","13,892.9","13,892.9","13,535.7","24.75K","-0.51%"
"11/22/2022","13,892.9","13,678.6","13,892.9","13,642.9","4.19K","0.00%"
"11/21/2022","13,892.9","13,928.6","13,928.6","13,678.6","9.52K","2.37%"
"11/18/2022","13,571.4","13,571.4","13,641.0","13,501.8","12.35K","0.52%"
"11/17/2022","13,501.8","13,571.4","13,571.4","13,501.8","33.60K","0.26%"
"11/16/2022","13,467.0","13,919.4","13,919.4","13,119.1","1.96K","0.52%"
"11/15/2022","13,397.4","13,571.4","13,571.4","12,875.5","9.38K","2.12%"
"11/14/2022","13,119.1","13,710.6","13,710.6","13,119.1","23.04K","-4.07%"
"11/11/2022","13,675.8","13,675.8","13,675.8","13,675.8","0.28K","0.00%"
"11/10/2022","13,675.8","13,571.4","13,675.8","13,571.4","3.67K","0.77%"
"11/09/2022","13,571.4","13,710.6","13,710.6","13,536.6","14.14K","0.00%"
"11/08/2022","13,571.4","13,432.2","13,710.6","13,397.4","91.84K","0.00%"
"11/07/2022","13,571.4","13,710.6","13,745.4","13,571.4","78.12K","-1.02%"
"11/04/2022","13,710.6","13,571.4","13,710.6","13,571.4","1.96K","0.00%"
"11/03/2022","13,710.6","13,710.6","13,745.4","13,571.4","5.88K","0.25%"
"11/02/2022","13,675.8","13,745.4","13,780.2","13,641.0","61.04K","-0.51%"
"11/01/2022","13,745.4","13,745.4","13,849.8","13,745.4","5.04K","0.25%"
"10/31/2022","13,710.6","13,606.2","13,745.4","13,571.4","5.88K","-0.25%"
"10/28/2022","13,745.4","13,745.4","13,745.4","13,745.4","0.56K","0.00%"
"10/27/2022","13,745.4","13,815.0","13,815.0","13,571.4","60.22K","0.00%"
"10/26/2022","13,745.4","13,675.8","13,815.0","13,571.4","19.60K","0.00%"
"10/25/2022","13,745.4","13,710.6","13,745.4","13,571.4","2.52K","1.28%"
